ticker,pdufa_date,outcome,confidence
APLS,2025-07-28,Approved,price-only
PHIO,2025-07-28,CRL,price-only
REPL,2025-07-22,CRL,source-verified
RHHBY,2025-07-18,CRL,price-only
GSK,2025-07-17,Approved,price-only
CUE,2025-07-16,CRL,price-only
CAPR,2025-07-11,CRL,source-verified
ABEO,2025-07-11,CRL,price-only
RARE,2025-07-11,CRL,price-only
JSPR,2025-07-07,CRL,source-verified
KALV,2025-07-07,Approved,price-only
CMND,2025-07-03,Approved,price-only
REGN,2025-07-02,Approved,price-only
EXEL,2025-07-02,Approved,price-only
UNCY,2025-06-30,CRL,source-verified
ABBV,2025-06-30,Approved,price-only
TAK,2025-06-30,Approved,price-only
INTS,2025-06-30,CRL,price-only
BMY,2025-06-27,Approved,price-only
GSK,2025-06-24,Approved,price-only
AVBP,2025-06-23,Approved,price-only
AZN,2025-06-23,Approved,price-only
DSNKY,2025-06-23,Approved,price-only
GHRS,2025-06-20,CRL,price-only
GLPG,2025-06-19,CRL,price-only
GILD,2025-06-18,Approved,price-only
NVS,2025-06-18,Approved,price-only
XNCR,2025-06-18,Approved,price-only
INCY,2025-06-18,Approved,price-only
CSLLY,2025-06-17,Approved,price-only
LYEL,2025-06-17,CRL,price-only
HOTH,2025-06-16,Approved,price-only
LTRN,2025-06-16,CRL,price-only
JSPR,2025-06-16,CRL,price-only
INCY,2025-06-15,CRL,price-only
GMAB,2025-06-15,CRL,price-only
JNJ,2025-06-13,CRL,price-only
MRK,2025-06-13,Approved,price-only
AMRX,2025-06-12,Approved,price-only
MRNA,2025-06-12,Approved,price-only
URGN,2025-06-12,Approved,price-only
BMY,2025-06-12,CRL,price-only
NRIX,2025-06-12,CRL,price-only
ADCT,2025-06-12,CRL,price-only
NUVB,2025-06-11,Approved,price-only
ABBV,2025-06-11,Approved,price-only
ENTA,2025-06-11,Approved,price-only
MRK,2025-06-09,Approved,price-only
AXSM,2025-06-09,CRL,price-only
TRAW,2025-06-03,CRL,source-verified
IMMX,2025-06-03,CRL,price-only
REGN,2025-06-02,Approved,price-only
SNY,2025-06-02,Approved,price-only
GMAB,2025-06-02,CRL,price-only
MRNA,2025-05-31,Approved,price-only
ETON,2025-05-29,Approved,price-only
