ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,rs_21,rs_63,rs_126,mom_126,beta_xbi,atr14,dnvol_60,review_priority,prior_fda_approvals,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
ASND,2026-02-27,Approved,other,P,2026,2026-01-28,2026-02-20,222.45,0.011463,0.020674,1,0.056775,-0.037757,-0.110368,0.36205,0.4011,0.05728,0.01839,PRIORITY,0,145980878.0,0.054165,0.029433,1,0.13233,16.35,4.251,0.0635,OOS
BMRN,2026-02-27,Approved,other,P,2026,2026-01-28,2026-02-20,56.68,0.130558,0.139768,1,-0.062227,-0.056195,-0.499036,-0.026619,0.7074,0.02887,0.01231,,2,116965236.0,-0.055963,0.017938,1,0.13233,16.35,4.251,0.0635,OOS
AMPH,2026-02-24,Approved,other,P,2026,2026-01-23,2026-02-17,25.92,0.097608,0.12424,1,-0.068161,-0.139918,-0.31725,0.151488,0.4224,0.04453,0.01659,,0,8526973.0,-0.044248,0.025365,1,0.197014,16.09,4.239,0.0724,OOS
PFE,2026-02-24,Approved,other,P,2026,2026-01-23,2026-02-17,25.2335,0.067057,0.093689,1,0.01758,-0.123435,-0.403775,0.064963,0.4209,0.02154,0.00895,STANDARD,92,1099673844.0,0.039445,0.008106,1,0.197014,16.09,4.239,0.0724,OOS
RHHBY,2026-02-20,Approved,other,P,2026,2026-01-21,2026-02-13,52.6149,0.077929,0.119433,1,0.008158,0.064633,-0.133986,0.349242,0.3121,0.01553,0.00776,,19,138343486.0,0.056237,0.009675,1,0.167324,16.9,4.253,0.067,OOS
VNDA,2026-02-20,Approved,other,P,2026,2026-01-21,2026-02-13,7.93,-0.23203,-0.190526,0,0.117294,0.320481,0.200424,0.683652,1.0232,0.08224,0.03763,,0,23346985.0,0.128023,0.072389,1,0.167324,16.9,4.253,0.067,OOS
HRMY,2026-02-17,Approved,other,P,2026,2026-01-16,2026-02-10,36.22,0.047211,0.03787,1,-0.088369,0.24118,-0.415627,0.028977,0.3256,0.03716,0.01266,PRIORITY,2,24517917.0,-0.042052,0.019309,1,0.154581,15.86,4.231,0.0641,OOS
EBS,2026-02-13,Approved,other,P,2026,2026-01-14,2026-02-06,12.54,-0.129187,-0.118857,0,0.06566,0.169116,0.344715,0.793991,1.1167,0.04859,0.02829,STANDARD,2,10689359.0,0.017032,0.025328,1,0.210422,16.75,4.14,0.0293,OOS
IRON,2026-02-13,CRL,other,P,2026,2026-01-14,2026-02-06,77.08,0.03425,0.04458,1,-0.194181,-0.154532,-0.105015,0.344262,0.5855,0.03707,0.02112,,0,51800039.0,-0.162174,0.033777,1,0.210422,16.75,4.14,0.0293,OOS
NVCR,2026-02-12,Approved,other,P,2026,2026-01-13,2026-02-05,13.65,-0.260806,-0.235533,0,-0.01081,-0.149424,-0.633819,-0.187016,1.1876,0.04547,0.02254,,0,17860323.0,0.024775,0.027247,1,0.180391,15.98,4.171,0.0296,OOS
