ticker,pdufa_date,review_priority,prior_fda_approvals
ANIP,2025-01-02,,0
IMCR,2022-01-25,,
CTIC,2022-02-28,,
AGIO,2022-02-17,,0
MRNS,2022-03-18,,
BTAI,2022-04-05,,
SLGL,2022-04-22,,
PHAT,2022-05-03,PRIORITY,0
ARQT,2022-07-29,STANDARD,0
CHRS,2022-08-02,,0
BLUE,2022-08-17,,
AXSM,2022-08-18,PRIORITY,0
RVNC,2022-09-07,,
SPPI,2022-09-09,,
HRTX,2022-09-16,,
FENC,2022-09-20,,
HROW,2022-09-27,,
AMLX,2022-09-29,,
SCPH,2022-10-07,,
PRVB,2022-11-17,,
FMTX,2022-12-01,,
MRTX,2022-12-12,,
ACER,2022-12-22,,
TGTX,2022-12-28,,
VCEL,2022-12-28,,
TVTX,2023-02-17,PRIORITY,0
APLS,2023-02-17,,
RETA,2023-02-28,,
ACAD,2023-03-10,,0
CDTX,2023-03-22,,
MCRB,2023-04-26,,
AVDL,2023-05-01,,
PLX,2023-05-09,,
EYEN,2023-05-05,,
KRYS,2023-05-19,,0
OPNT,2023-05-22,,
INVA,2023-05-23,,0
LXRX,2023-05-26,,
SRPT,2023-06-22,,0
BMRN,2023-06-29,,2
VRCA,2023-07-21,,
TARS,2023-07-25,,
SAGE,2023-08-04,,
DCTH,2023-08-14,,
BLRX,2023-09-08,,
OCUP,2023-09-25,,
FOLD,2023-09-28,,
ARDX,2023-10-17,,
CPRX,2023-10-26,,
PHAT,2023-11-01,STANDARD,2
CRMD,2023-11-15,,
SWTX,2023-11-27,,
GKOS,2023-12-13,STANDARD,3
