ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,mae,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
RHHBY,2026-02-20,Approved,other,P,2026,2026-01-21,2026-02-13,52.6149,0.077929,0.119433,1,0.007699,138343486.0,0.056237,0.009675,1,0.167324,16.9,4.253,0.067,OOS
VNDA,2026-02-20,Approved,other,P,2026,2026-01-21,2026-02-13,7.93,-0.23203,-0.190526,0,-0.242118,23346985.0,0.128023,0.072389,1,0.167324,16.9,4.253,0.067,OOS
HRMY,2026-02-17,Approved,other,P,2026,2026-01-16,2026-02-10,36.22,0.047211,0.03787,1,-0.029266,24517917.0,-0.042052,0.019309,1,0.154581,15.86,4.231,0.0641,OOS
EBS,2026-02-13,Approved,other,P,2026,2026-01-14,2026-02-06,12.54,-0.129187,-0.118857,0,-0.170654,10689359.0,0.017032,0.025328,1,0.210422,16.75,4.14,0.0293,OOS
IRON,2026-02-13,CRL,other,P,2026,2026-01-14,2026-02-06,77.08,0.03425,0.04458,1,-0.102621,51800039.0,-0.162174,0.033777,1,0.210422,16.75,4.14,0.0293,OOS
NVCR,2026-02-12,Approved,other,P,2026,2026-01-13,2026-02-05,13.65,-0.260806,-0.235533,0,-0.280586,17860323.0,0.024775,0.027247,1,0.180391,15.98,4.171,0.0296,OOS
MRK,2026-02-11,Approved,other,P,2026,2026-01-12,2026-02-04,107.6133,0.083707,0.072733,1,-0.014713,1467802358.0,0.097939,0.012437,1,0.184303,15.12,4.187,0.0336,OOS
RGNX,2026-02-09,CRL,other,P,2026,2026-01-09,2026-02-02,14.59,-0.261138,-0.284029,0,-0.348184,10226270.0,0.135409,0.042456,1,0.172661,14.49,4.171,0.0055,OOS
GILD,2026-02-06,Approved,other,P,2026,2026-01-07,2026-01-30,122.8405,0.141536,0.154824,1,-0.028578,789453283.0,0.032852,0.015386,1,0.223459,15.38,4.138,0.0027,OOS
VERA,2026-07-07,Approved,other,P,2026,2026-06-05,2026-06-30,32.29,0.328894,0.097797,1,-0.045525,39520589.0,-0.107765,0.041532,1,0.037661,21.51,4.536,0.0975,OOS
AZN,2026-06-30,Approved,other,P,2026,2026-05-29,2026-06-23,185.67,-0.025044,-0.101746,0,-0.064685,332029655.0,0.005034,0.011952,1,0.073173,15.32,4.453,0.1239,OOS
VRDN,2026-06-30,Approved,other,P,2026,2026-05-29,2026-06-23,17.62,-0.019296,-0.095998,0,-0.120318,60911613.0,0.312966,0.083031,1,0.073173,15.32,4.453,0.1239,OOS
IONS,2026-06-30,Approved,other,P,2026,2026-05-29,2026-06-23,76.5,-0.006667,-0.083368,0,-0.058562,126271894.0,0.016206,0.013967,1,0.073173,15.32,4.453,0.1239,OOS
