This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on INV.

The portfolios are constructed at the end of June.  INV, investment, is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1
divided by t-2 total assets.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196909,   -2.77,   -2.83,   -1.40,   -3.49,   -2.53,   -2.46,   -2.05,   -2.26,   -1.62,   -4.70,   -2.29,   -2.85,   -3.75,   -1.34,   -3.69,   -0.60,   -1.64,   -3.14
196910,    5.06,    5.47,    6.50,    5.53,    5.02,    5.36,    5.52,    7.81,    7.48,    4.22,    4.75,    5.39,    3.87,    6.61,    5.80,    5.28,    6.06,   10.30
196911,   -2.79,   -3.91,   -2.47,   -4.75,   -2.90,   -3.90,   -2.36,   -3.22,   -5.40,   -4.29,   -1.49,   -4.80,   -4.59,   -3.34,   -3.06,   -1.77,   -2.67,   -3.97
196912,   -3.68,   -0.91,   -1.53,   -3.98,   -2.87,   -0.84,    0.12,   -3.45,   -4.28,   -3.78,   -3.49,   -2.01,   -0.58,   -1.05,   -0.02,    0.25,   -3.67,   -3.14
197001,   -5.44,   -7.91,   -8.96,   -6.63,   -5.13,   -8.22,   -8.48,  -10.18,   -6.24,   -6.89,   -4.68,   -5.74,   -8.15,   -8.27,   -9.19,   -7.88,   -9.14,  -11.61
197002,    7.72,    6.00,    3.91,    7.23,    6.91,    6.38,    4.52,    4.33,    5.51,    8.41,    8.02,    5.35,    6.65,    6.17,    5.69,    3.55,    4.72,    3.77
197003,    1.83,   -0.38,   -2.32,    0.47,    1.75,   -0.03,   -1.52,   -3.68,    1.05,    0.08,    2.67,    0.43,    0.93,   -0.81,   -1.98,   -1.13,   -3.16,   -4.42
197004,   -8.98,   -8.70,  -14.13,   -9.92,   -7.67,   -9.12,  -11.10,  -16.33,  -10.68,   -9.40,   -8.40,   -6.59,   -8.14,   -9.92,   -9.74,  -12.25,  -13.68,  -20.17
197005,   -5.22,   -5.44,   -8.49,   -5.32,   -4.51,   -5.09,   -7.34,  -10.79,   -4.95,   -5.56,   -5.17,   -3.57,   -2.60,   -7.19,   -8.19,   -6.61,   -9.83,  -12.28
197006,   -5.14,   -3.96,   -7.48,   -5.54,   -4.26,   -4.08,   -5.60,   -8.48,   -5.41,   -5.64,   -4.90,   -3.37,   -3.99,   -4.15,   -4.30,   -6.70,   -7.36,  -10.29
197007,    9.44,    6.91,    6.23,    9.08,    9.24,    6.02,    7.25,    5.78,    7.58,    9.73,    9.66,    8.79,    5.74,    6.80,    7.26,    7.23,    5.29,    6.15
197008,    5.92,    4.27,    6.11,    4.40,    5.95,    3.67,    5.30,    6.68,    3.79,    4.66,    6.87,    4.94,    3.54,    4.01,    5.69,    4.87,    5.45,    7.61
197009,    2.76,    3.70,    8.81,    5.36,    2.32,    3.74,    4.57,   10.26,    6.35,    4.94,    1.15,    3.62,    3.53,    4.32,    3.67,    5.61,    9.41,   10.89
197010,   -1.25,   -1.10,   -3.49,   -2.28,   -0.69,   -1.12,   -2.48,   -3.51,   -4.20,   -1.46,   -0.60,   -0.80,   -0.82,   -1.90,   -1.64,   -3.44,   -3.42,   -3.57
197011,    5.70,    5.27,    4.24,    3.82,    6.51,    5.06,    4.54,    4.15,    4.07,    3.71,    6.89,    6.09,    5.15,    4.80,    4.60,    4.46,    4.25,    4.08
197012,    5.69,    6.56,    5.74,    7.76,    5.03,    6.55,    7.89,    5.03,    6.63,    8.23,    4.42,    5.71,    6.13,    7.68,    8.35,    7.38,    7.30,    3.38
197101,    4.26,    4.34,    7.26,    6.96,    2.74,    5.02,    4.73,    8.02,   10.39,    5.56,    2.56,    2.95,    4.92,    5.30,    4.03,    5.53,    7.71,    8.26
197102,    2.03,    1.27,    2.30,    2.85,    1.77,    0.29,    3.47,    2.12,    1.00,    3.65,    1.48,    2.08,   -0.20,    1.59,    4.15,    2.73,    3.42,    1.14
197103,    3.33,    4.03,    6.36,    3.66,    3.07,    4.12,    5.08,    7.15,    4.50,    3.31,    3.12,    3.02,    3.55,    5.61,    5.57,    4.54,    7.23,    7.10
197104,    4.32,    2.91,    3.92,    4.71,    4.41,    1.98,    3.28,    4.26,    3.94,    5.04,    4.07,    4.78,    1.47,    3.28,    3.42,    3.13,    5.33,    3.44
197105,   -3.77,   -3.93,   -3.20,   -3.34,   -3.81,   -4.21,   -3.81,   -2.81,   -3.10,   -3.44,   -4.06,   -3.54,   -4.60,   -3.24,   -3.52,   -4.14,   -2.61,   -2.96
197106,   -0.74,    0.54,    0.74,    0.17,   -0.46,    0.19,    0.94,    1.21,   -1.18,    0.73,   -1.36,    0.48,   -0.24,    1.26,    2.13,   -0.41,    0.77,    1.55
197107,   -4.29,   -3.27,   -5.48,   -5.11,   -4.29,   -2.20,   -5.00,   -5.20,   -4.93,   -5.40,   -2.92,   -5.06,   -2.87,   -1.51,   -4.14,   -5.84,   -4.68,   -5.76
197108,    7.57,    3.33,    4.30,    7.72,    6.87,    2.85,    3.36,    4.00,    8.77,    5.99,    7.32,    6.61,    2.62,    3.08,    2.02,    4.68,    2.60,    5.57
197109,   -0.94,   -0.46,   -0.20,   -1.32,   -0.86,   -0.43,   -0.31,    0.13,   -1.12,   -1.66,   -0.33,   -1.17,    0.04,   -0.90,   -0.01,   -0.60,   -0.15,    0.43
197110,   -5.41,   -3.72,   -3.64,   -5.39,   -5.68,   -3.88,   -2.00,   -4.82,   -5.76,   -4.76,   -5.44,   -5.83,   -3.94,   -3.81,   -1.85,   -2.15,   -4.06,   -5.63
197111,   -0.91,    0.01,    0.28,    0.22,   -1.14,   -0.09,    0.45,    0.07,    0.32,    0.04,   -2.73,   -0.19,    0.12,   -0.31,    0.34,    0.54,   -0.39,    0.56
197112,    8.01,    8.80,   10.13,    7.16,    8.80,    9.06,    9.22,   10.34,    6.44,    8.36,    9.43,    8.44,    9.31,    8.81,    8.54,    9.87,    9.22,   11.56
197201,    4.26,    1.31,    4.07,    4.36,    2.04,    1.49,    2.83,    3.88,    3.50,    5.78,    4.10,    0.85,    1.86,    1.10,    1.29,    4.30,    2.85,    4.98
197202,    2.51,    3.05,    3.66,    1.98,    2.33,    4.18,    2.03,    4.74,    1.39,    2.93,    3.37,    1.71,    3.40,    4.98,    1.68,    2.35,    5.19,    4.26
197203,    1.59,    0.43,    1.18,    1.77,    1.19,    0.60,    0.72,    0.71,    3.54,   -1.03,    1.31,    1.12,    0.93,    0.26,   -0.41,    1.76,    1.11,    0.29
197204,   -0.87,    0.73,    0.99,   -1.13,    0.62,    0.84,    0.50,    1.11,   -2.52,    1.19,   -0.46,    1.27,    1.30,    0.37,    0.12,    0.85,    0.12,    2.15
197205,   -1.11,    1.84,    2.60,   -1.83,    0.04,    2.23,    2.02,    3.25,   -3.40,    0.69,    0.04,    0.04,    1.29,    3.19,    2.28,    1.79,    3.28,    3.21
197206,   -3.00,   -2.16,   -1.57,   -2.40,   -3.07,   -1.95,   -1.80,   -1.74,   -2.40,   -2.40,   -3.93,   -2.56,   -1.55,   -2.35,   -2.31,   -1.35,   -1.10,   -2.40
197207,   -2.39,    0.13,   -0.38,   -2.35,   -0.73,   -0.16,    0.21,   -0.53,   -1.87,   -2.58,   -2.45,    0.46,   -1.49,    0.66,    0.33,   -0.06,    0.89,   -2.48
197208,    5.45,    3.91,    2.41,    4.85,    6.54,    2.73,    4.00,    1.92,    4.12,    5.20,    6.36,    6.66,    4.65,    1.57,    4.27,    3.43,    1.53,    2.46
197209,   -3.54,   -0.16,   -0.63,   -3.89,   -1.85,   -0.38,    0.23,   -0.93,   -3.47,   -4.09,   -3.01,   -1.07,   -2.00,    0.63,    0.34,   -0.02,   -0.63,   -1.35
197210,   -0.18,    0.99,    1.13,   -0.46,    1.69,    1.67,    0.55,    0.65,    0.25,   -0.80,    0.24,    2.65,    1.36,    1.86,   -0.16,    2.11,    2.84,   -2.42
197211,    7.77,    5.02,    3.69,    7.68,    7.14,    5.07,    4.31,    3.54,    6.15,    8.41,    7.90,    6.64,    6.67,    4.11,    4.47,    3.98,    1.12,    7.13
197212,   -2.25,    1.61,    1.47,   -2.31,   -0.48,    1.35,    2.01,    1.39,   -3.57,   -1.71,   -2.16,    0.62,   -0.80,    2.68,    2.18,    1.65,    1.37,    1.41
197301,   -4.24,   -1.06,   -4.19,   -4.83,   -2.90,   -2.38,   -0.64,   -4.50,   -5.17,   -4.67,   -3.38,   -2.60,   -0.78,   -3.33,    0.70,   -3.57,   -3.49,   -5.91
197302,   -5.85,   -3.88,   -4.00,   -5.64,   -5.29,   -4.65,   -3.16,   -4.10,   -5.69,   -5.61,   -6.16,   -4.74,   -5.24,   -4.29,   -2.89,   -3.78,   -1.84,   -7.37
197303,   -1.46,   -0.08,   -0.99,   -2.00,    0.21,   -0.46,    0.05,   -1.54,   -0.98,   -2.47,   -0.68,    0.76,    0.03,   -0.75,    0.03,    0.11,   -0.91,   -2.49
197304,   -4.40,   -3.72,   -6.03,   -4.83,   -3.31,   -4.00,   -4.21,   -6.31,   -6.76,   -3.93,   -3.78,   -3.02,   -3.96,   -4.02,   -3.66,   -5.48,   -5.58,   -7.44
