This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The total return variance is measured over 60 days up to formation month-end requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197407,   -7.79,   -7.69,   -6.18,   -5.82,   -7.32,   -8.95,   -6.28,   -6.54,   -9.09,   -5.33,   -7.45,   -6.79,   -4.43,   -6.86,   -8.00
197408,   -8.36,   -8.50,   -9.82,   -9.61,   -9.86,   -6.62,  -10.37,   -8.30,   -8.93,   -9.96,   -9.61,  -10.20,   -8.79,   -8.93,  -11.02
197409,   -7.86,  -12.70,  -12.06,  -12.39,  -13.07,   -6.67,   -9.53,  -12.53,  -13.02,  -13.31,   -9.98,  -10.97,  -13.86,  -11.97,  -14.26
197410,   13.09,   15.53,   19.85,   22.02,   21.43,   12.45,   14.11,   15.38,   15.71,   18.43,   21.82,   21.61,   22.50,   22.90,   19.16
197411,   -3.35,   -4.89,   -3.69,   -3.29,   -4.99,   -2.91,   -3.79,   -5.14,   -4.53,   -3.43,   -3.97,   -2.75,   -4.44,   -4.09,   -7.09
197412,    0.12,   -2.98,   -3.53,   -5.52,   -7.36,    0.37,   -0.11,   -3.80,   -1.54,   -2.05,   -4.82,   -5.91,   -5.12,   -5.21,  -12.07
197501,   13.00,   12.52,   13.85,   18.47,   25.06,   10.59,   15.57,   13.38,   11.35,   12.27,   15.41,   16.69,   20.96,   23.08,   29.46
197502,    3.50,    7.97,    7.42,    6.35,    6.27,    3.47,    3.55,    8.71,    6.54,    7.37,    7.46,    4.39,    9.04,    8.25,    3.17
197503,    1.19,    2.70,    4.92,    6.75,   11.67,    0.92,    1.55,    2.22,    3.63,    3.16,    7.15,    5.32,    8.45,   11.51,   11.93
197504,    3.63,    5.09,    6.03,    5.55,    4.90,    1.74,    5.73,    5.29,    4.96,    6.06,    5.98,    5.20,    6.07,    7.44,    1.14
197505,    5.75,    4.45,    6.27,    7.62,    8.34,    5.86,    5.65,    3.81,    5.41,    6.26,    6.29,    6.74,    8.89,    8.62,    7.85
197506,    4.38,    6.11,    5.09,    6.50,    7.00,    5.35,    3.28,    5.28,    7.34,    4.42,    6.06,    5.52,    7.92,    7.45,    6.36
197507,   -5.71,   -6.36,   -7.36,   -5.81,   -5.85,   -5.20,   -6.20,   -6.86,   -5.62,   -7.93,   -6.41,   -6.12,   -5.38,   -6.14,   -5.48
197508,   -2.26,   -0.87,   -3.49,   -3.70,   -6.58,   -2.29,   -2.23,   -0.23,   -1.92,   -3.03,   -4.18,   -2.72,   -4.85,   -6.42,   -6.79
