This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and
administrative expenses, minus interest expense) divided by book equity
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm's accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
  2025,    8.87,   10.70,    4.36,    8.61,   10.37,   10.07,   10.11,    1.83,    6.90,   10.11,    9.28,   11.50,    6.78,   13.37,   11.15,    8.94,    0.86,    2.69


  Number of Firms in Portfolios
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196307,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196308,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196309,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196310,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196311,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196312,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196401,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196402,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196403,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196404,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196405,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196406,     402,     402,     351,     298,     213,     201,     189,     254,     178,     120,     104,     109,     102,      99,      92,      97,     101,     153
196407,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196408,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196409,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196410,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196411,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196412,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196501,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196502,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196503,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196504,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196505,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196506,     422,     422,     366,     316,     211,     211,     213,     259,     196,     120,     106,     105,     118,      93,     106,     107,     114,     145
196507,     461,     465,     398,     332,     248,     224,     240,     280,     207,     125,     129,     119,     108,     116,     122,     118,     125,     155
196508,     461,     465,     398,     332,     248,     224,     240,     280,     207,     125,     129,     119,     108,     116,     122,     118,     125,     155
196509,     461,     465,     398,     332,     248,     224,     240,     280,     207,     125,     129,     119,     108,     116,     122,     118,     125,     155
196510,     461,     465,     398,     332,     248,     224,     240,     280,     207,     125,     129,     119,     108,     116,     122,     118,     125,     155
196511,     461,     465,     398,     332,     248,     224,     240,     280,     207,     125,     129,     119,     108,     116,     122,     118,     125,     155
196512,     461,     464,     398,     332,     247,     224,     240,     280,     207,     125,     129,     118,     108,     116,     122,     118,     125,     155
196601,     461,     464,     398,     332,     247,     224,     240,     280,     207,     125,     129,     118,     108,     116,     122,     118,     125,     155
196602,     461,     464,     398,     332,     247,     224,     240,     280,     207,     125,     129,     118,     108,     116,     122,     118,     125,     155
196603,     461,     464,     398,     332,     247,     224,     240,     280,     207,     125,     129,     118,     108,     116,     122,     118,     125,     155
196604,     461,     464,     398,     332,     247,     224,     240,     280,     207,     125,     129,     118,     108,     116,     122,     118,     125,     155
196605,     461,     464,     398,     332,     247,     224,     240,     280,     207,     125,     129,     118,     108,     116,     122,     118,     125,     155
196606,     461,     464,     398,     332,     247,     224,     240,     280,     207,     125,     129,     118,     108,     116,     122,     118,     125,     155
196607,     499,     479,     426,     367,     245,     239,     252,     301,     224,     143,     132,     113,     118,     121,     127,     125,     135,     166
196608,     499,     479,     426,     367,     245,     239,     252,     301,     224,     143,     132,     113,     118,     121,     127,     125,     135,     166
196609,     499,     479,     426,     367,     245,     239,     252,     301,     224,     143,     132,     113,     118,     121,     127,     125,     135,     166
196610,     499,     479,     425,     367,     245,     239,     252,     300,     224,     143,     132,     113,     118,     121,     127,     125,     135,     165
196611,     499,     479,     425,     367,     245,     239,     252,     300,     224,     143,     132,     113,     118,     121,     127,     125,     135,     165
196612,     499,     479,     425,     367,     245,     239,     252,     300,     224,     143,     132,     113,     118,     121,     127,     125,     135,     165
196701,     499,     479,     425,     367,     245,     239,     252,     300,     224,     143,     132,     113,     118,     121,     127,     125,     135,     165
196702,     499,     479,     425,     367,     245,     239,     252,     300,     224,     143,     132,     113,     118,     121,     127,     125,     135,     165
196703,     499,     479,     425,     367,     245,     239,     252,     300,     224,     143,     132,     113,     118,     121,     127,     125,     135,     165
196704,     499,     479,     425,     367,     245,     239,     252,     300,     224,     143,     132,     113,     118,     121,     127,     125,     135,     165
196705,     499,     479,     425,     367,     245,     239,     252,     300,     224,     143,     132,     113,     118,     121,     127,     125,     135,     165
196706,     498,     479,     425,     366,     245,     239,     252,     300,     224,     142,     132,     113,     118,     121,     127,     125,     135,     165
196707,     508,     516,     472,     365,     270,     258,     256,     347,     208,     157,     143,     127,     136,     122,     131,     125,     157,     190
196708,     507,     516,     472,     364,     270,     258,     256,     347,     208,     156,     143,     127,     136,     122,     131,     125,     157,     190
196709,     506,     516,     472,     363,     270,     258,     256,     347,     207,     156,     143,     127,     136,     122,     131,     125,     157,     190
196710,     505,     516,     472,     363,     269,     258,     256,     347,     207,     156,     142,     127,     136,     122,     131,     125,     157,     190
196711,     505,     516,     472,     363,     269,     258,     256,     347,     207,     156,     142,     127,     136,     122,     131,     125,     157,     190
196712,     505,     516,     472,     363,     269,     258,     256,     347,     207,     156,     142,     127,     136,     122,     131,     125,     157,     190
196801,     505,     516,     472,     363,     269,     258,     256,     347,     207,     156,     142,     127,     136,     122,     131,     125,     157,     190
196802,     504,     515,     471,     362,     268,     258,     256,     346,     207,     155,     142,     126,     136,     122,     131,     125,     157,     189
196803,     504,     515,     471,     362,     268,     258,     256,     346,     207,     155,     142,     126,     136,     122,     131,     125,     157,     189
196804,     504,     515,     471,     362,     268,     258,     256,     346,     207,     155,     142,     126,     136,     122,     131,     125,     157,     189
196805,     503,     515,     470,     361,     268,     258,     256,     345,     206,     155,     142,     126,     136,     122,     131,     125,     157,     188
196806,     503,     515,     470,     361,     268,     258,     256,     345,     206,     155,     142,     126,     136,     122,     131,     125,     157,     188
196807,     540,     545,     524,     397,     281,     268,     303,     360,     243,     154,     143,     138,     129,     139,     139,     164,     163,     197
196808,     539,     542,     524,     396,     280,     266,     303,     360,     242,     154,     143,     137,     128,     138,     139,     164,     163,     197
196809,     539,     541,     524,     396,     279,     266,     303,     360,     242,     154,     143,     136,     128,     138,     139,     164,     163,     197
196810,     539,     540,     524,     396,     279,     266,     302,     360,     242,     154,     143,     136,     128,     138,     138,     164,     163,     197
196811,     539,     540,     524,     396,     279,     266,     302,     360,     242,     154,     143,     136,     128,     138,     138,     164,     163,     197
196812,     539,     540,     524,     396,     279,     266,     302,     360,     242,     154,     143,     136,     128,     138,     138,     164,     163,     197
196901,     539,     539,     524,     396,     279,     266,     301,     360,     242,     154,     143,     136,     128,     138,     137,     164,     163,     197
196902,     538,     539,     524,     395,     279,     266,     301,     360,     241,     154,     143,     136,     128,     138,     137,     164,     163,     197
196903,     538,     539,     524,     395,     279,     266,     301,     360,     241,     154,     143,     136,     128,     138,     137,     164,     163,     197
196904,     538,     539,     524,     395,     279,     266,     301,     360,     241,     154,     143,     136,     128,     138,     137,     164,     163,     197
196905,     538,     539,     524,     395,     279,     266,     301,     360,     241,     154,     143,     136,     128,     138,     137,     164,     163,     197
196906,     538,     539,     524,     395,     279,     266,     301,     360,     241,     154,     143,     136,     128,     138,     137,     164,     163,     197
196907,     621,     639,     532,     459,     326,     325,     308,     374,     261,     198,     162,     164,     167,     158,     150,     158,     180,     194
196908,     621,     639,     532,     459,     326,     325,     308,     374,     261,     198,     162,     164,     167,     158,     150,     158,     180,     194
196909,     620,     637,     532,     458,     326,     324,     307,     374,     260,     198,     162,     164,     166,     158,     149,     158,     180,     194
196910,     620,     637,     532,     458,     326,     324,     307,     374,     260,     198,     162,     164,     166,     158,     149,     158,     180,     194
196911,     620,     637,     532,     458,     326,     324,     307,     374,     260,     198,     162,     164,     166,     158,     149,     158,     180,     194
196912,     620,     637,     532,     458,     326,     324,     307,     374,     260,     198,     162,     164,     166,     158,     149,     158,     180,     194
197001,     620,     637,     532,     458,     326,     324,     307,     374,     260,     198,     162,     164,     166,     158,     149,     158,     180,     194
197002,     619,     637,     532,     457,     326,     324,     307,     374,     260,     197,     162,     164,     166,     158,     149,     158,     180,     194
197003,     619,     637,     532,     457,     326,     324,     307,     374,     260,     197,     162,     164,     166,     158,     149,     158,     180,     194
197004,     619,     637,     531,     457,     326,     324,     307,     373,     260,     197,     162,     164,     166,     158,     149,     158,     180,     193
197005,     618,     635,     531,     456,     325,     323,     307,     373,     259,     197,     162,     163,     166,     157,     149,     158,     180,     193
197006,     616,     634,     531,     455,     324,     322,     307,     373,     258,     197,     161,     163,     166,     156,     149,     158,     180,     193
197007,     666,     695,     570,     501,     343,     342,     345,     400,     296,     205,     165,     178,     166,     176,     175,     170,     195,     205
197008,     663,     694,     570,     498,     342,     342,     345,     400,     293,     205,     165,     177,     166,     176,     175,     170,     195,     205
197009,     662,     692,     569,     497,     341,     342,     343,     400,     292,     205,     165,     176,     166,     176,     174,     169,     195,     205
197010,     662,     692,     569,     497,     341,     342,     343,     400,     292,     205,     165,     176,     166,     176,     174,     169,     195,     205
197011,     660,     691,     569,     496,     340,     341,     343,     400,     291,     205,     164,     176,     165,     176,     174,     169,     195,     205
197012,     658,     691,     568,     495,     339,     341,     343,     399,     291,     204,     163,     176,     165,     176,     174,     169,     194,     205
197101,     655,     689,     568,     492,     339,     341,     341,     399,     288,     204,     163,     176,     165,     176,     172,     169,     194,     205
197102,     654,     688,     566,     492,     338,     341,     338,     399,     288,     204,     162,     176,     165,     176,     171,     167,     194,     205
197103,     651,     688,     565,     489,     338,     341,     338,     398,     285,     204,     162,     176,     165,     176,     171,     167,     194,     204
197104,     650,     688,     565,     488,     338,     341,     338,     398,     284,     204,     162,     176,     165,     176,     171,     167,     194,     204
197105,     649,     687,     565,     487,     338,     340,     338,     398,     283,     204,     162,     176,     164,     176,     171,     167,     194,     204
197106,     646,     687,     563,     484,     338,     340,     337,     397,     281,     203,     162,     176,     164,     176,     171,     166,     193,     204
197107,     698,     740,     583,     523,     369,     361,     345,     423,     306,     217,     175,     194,     184,     177,     185,     160,     206,     217
197108,     696,     740,     582,     522,     368,     361,     345,     422,     305,     217,     174,     194,     184,     177,     185,     160,     206,     216
197109,     695,     739,     582,     521,     368,     361,     344,     422,     305,     216,     174,     194,     184,     177,     184,     160,     206,     216
197110,     694,     739,     582,     520,     368,     361,     344,     422,     304,     216,     174,     194,     184,     177,     184,     160,     206,     216
197111,     694,     739,     582,     520,     368,     361,     344,     422,     304,     216,     174,     194,     184,     177,     184,     160,     206,     216
197112,     693,     739,     581,     519,     368,     361,     344,     421,     304,     215,     174,     194,     184,     177,     184,     160,     206,     215
197201,     692,     738,     580,     519,     367,     361,     343,     420,     304,     215,     173,     194,     184,     177,     183,     160,     205,     215
197202,     689,     737,     580,     517,     366,     360,     343,     420,     303,     214,     172,     194,     183,     177,     183,     160,     205,     215
197203,     688,     737,     580,     516,     366,     360,     343,     420,     302,     214,     172,     194,     183,     177,     183,     160,     205,     215
197204,     688,     737,     579,     516,     366,     360,     343,     419,     302,     214,     172,     194,     183,     177,     183,     160,     204,     215
197205,     685,     737,     578,     513,     366,     360,     343,     418,     299,     214,     172,     194,     183,     177,     183,     160,     203,     215
197206,     684,     737,     578,     512,     366,     360,     343,     418,     298,     214,     172,     194,     183,     177,     183,     160,     203,     215
197207,     736,     762,     639,     550,     373,     376,     399,     439,     335,     215,     186,     187,     194,     182,     199,     200,     207,     232
197208,     735,     761,     638,     549,     373,     376,     397,     439,     335,     214,     186,     187,     194,     182,     198,     199,     207,     232
197209,     733,     759,     637,     547,     372,     376,     396,     438,     333,     214,     186,     186,     194,     182,     197,     199,     206,     232
197210,     732,     759,     637,     546,     372,     376,     396,     438,     333,     213,     186,     186,     194,     182,     197,     199,     206,     232
197211,     732,     758,     636,     546,     372,     375,     395,     438,     333,     213,     186,     186,     193,     182,     197,     198,     206,     232
197212,     730,     757,     636,     545,     370,     375,     395,     438,     332,     213,     185,     185,     193,     182,     197,     198,     206,     232
197301,     730,     756,     636,     545,     370,     375,     394,     438,     332,     213,     185,     185,     193,     182,     196,     198,     206,     232
197302,     729,     755,     634,     544,     369,     375,     394,     436,     331,     213,     185,     184,     193,     182,     196,     198,     206,     230
197303,     728,     751,     634,     543,     369,     374,     391,     436,     330,     213,     185,     184,     193,     181,     193,     198,     206,     230
197304,     727,     750,     633,     542,     369,     373,     391,     435,     329,     213,     185,     184,     192,     181,     193,     198,     206,     229
197305,     727,     749,     633,     542,     369,     372,     391,     435,     329,     213,     185,     184,     191,     181,     193,     198,     206,     229
197306,     720,     749,     630,     537,     367,     372,     391,     432,     324,     213,     183,     184,     191,     181,     193,     198,     206,     226
